epiweek,year,hhs,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness,ili
1,2018,1,4.501666666666667,0.17,9.62,2.7466666666666666,4.3950000000000005,4.508333333333334,3.5016666666666665,4.806666666666667,0.7133333333333334,1.4116666666666668,1.4816666666666667,0.2733333333333334,0.1366666666666667,0.35333333333333333,2.94107
1,2018,2,4.595,0.2,9.85,2.835,4.285,4.335,3.59,4.63,0.65,1.3450000000000002,1.47,0.24,0.17,0.345,4.93557
1,2018,3,5.083333333333333,0.19666666666666666,10.941666666666668,3.001666666666667,4.855,4.868333333333333,3.9933333333333336,5.196666666666666,0.71,1.5383333333333333,1.5783333333333334,0.27166666666666667,0.18166666666666667,0.36333333333333334,3.43385
1,2018,4,5.84875,0.23375,13.46875,3.425,5.29,5.50125,4.1675,5.44625,0.79,1.7237500000000001,1.73125,0.255,0.20875,0.41375,5.38848
1,2018,5,5.325,0.21666666666666667,11.15,3.1183333333333336,4.763333333333333,4.903333333333333,3.895,5.22,0.7066666666666667,1.4833333333333334,1.61,0.245,0.18666666666666668,0.36833333333333335,4.41441
1,2018,6,6.715999999999999,0.29,15.026,3.812,5.43,5.6739999999999995,4.1,5.276,0.82,1.6920000000000002,1.826,0.26,0.23399999999999999,0.414,11.1501
1,2018,7,5.925,0.24,12.1425,3.3049999999999997,5.1875,5.215,4.215,5.665,0.78,1.6025,1.7575,0.265,0.195,0.3875,7.63754
1,2018,8,4.86,0.17833333333333334,9.545,3.0549999999999997,4.771666666666667,4.846666666666667,3.6833333333333336,5.168333333333333,0.6416666666666667,1.42,1.6533333333333333,0.205,0.19166666666666665,0.33499999999999996,2.55299
1,2018,9,7.33,0.33999999999999997,14.83,3.9625,5.5575,5.407500000000001,4.34,5.6049999999999995,0.8325,1.565,1.9925,0.255,0.185,0.4125,6.50692
1,2018,10,5.484999999999999,0.165,10.462499999999999,3.1,5.202500000000001,5.3975,3.89,5.3625,0.73,1.5150000000000001,1.885,0.2575,0.2525,0.34750000000000003,4.95868
1,2019,1,4.826666666666667,0.225,9.918333333333333,2.98,5.0616666666666665,5.325,3.9766666666666666,5.446666666666666,0.8366666666666668,1.735,1.78,0.265,0.215,0.39999999999999997,3.18242
1,2019,2,4.75,0.2,9.945,3.045,4.835,5.27,3.745,4.91,0.7949999999999999,1.615,1.6949999999999998,0.26,0.185,0.41,4.68474
1,2019,3,4.693333333333333,0.15666666666666668,10.015,3.158333333333333,5.406666666666666,5.598333333333333,4.095,5.3500000000000005,0.8683333333333333,1.8499999999999999,1.8233333333333335,0.26833333333333337,0.18499999999999997,0.4483333333333333,3.05641
1,2019,4,4.8275,0.1875,10.82625,3.30125,5.98125,6.0075,4.105,5.41125,0.95,2.09,2.035,0.30874999999999997,0.21875,0.485,3.35579
1,2019,5,4.4433333333333325,0.15666666666666668,9.31,3.03,5.173333333333333,5.359999999999999,4.423333333333333,5.903333333333333,0.8116666666666666,1.7916666666666667,1.8066666666666666,0.26,0.19333333333333333,0.4116666666666666,2.40224
1,2019,6,5.08,0.186,11.190000000000001,3.5340000000000003,5.78,5.734,4.286,5.522,0.876,1.972,1.95,0.288,0.22599999999999998,0.438,4.91464
1,2019,7,5.4275,0.2025,10.8575,3.4425,5.6975,5.79,4.615,6.2425,0.8574999999999999,1.9324999999999999,2.0075,0.28,0.2,0.45,3.22125
1,2019,8,4.531666666666667,0.1366666666666667,8.706666666666667,3.0066666666666664,5.053333333333334,5.128333333333333,3.905,5.303333333333334,0.765,1.6266666666666667,1.71,0.2383333333333333,0.18333333333333335,0.38000000000000006,4.42326
1,2019,9,5.2375,0.1925,10.7175,3.49,5.425,5.359999999999999,4.125,5.3875,0.8275,1.7475,1.9649999999999999,0.2825,0.195,0.3825,3.368
1,2019,10,4.65,0.1575,8.5125,2.9425,5.425,5.41,3.8975,5.29,0.78,1.7725,1.9375,0.2625,0.15000000000000002,0.3875,1.68617
1,2020,1,5.498333333333334,0.24,11.496666666666668,3.2083333333333335,5.373333333333334,5.483333333333333,4.456666666666667,5.6866666666666665,0.945,1.8083333333333333,2.0166666666666666,0.26166666666666666,0.23333333333333336,0.39833333333333326,3.9217
1,2020,2,6.105,0.315,12.795,3.465,5.28,5.43,4.345000000000001,5.445,0.895,1.6949999999999998,1.9449999999999998,0.265,0.21,0.435,6.83461
1,2020,3,6.015000000000001,0.28833333333333333,13.101666666666667,3.5483333333333333,5.703333333333333,5.838333333333334,4.558333333333334,5.7,1.0033333333333332,1.9083333333333332,2.0483333333333333,0.29833333333333334,0.2316666666666667,0.48333333333333334,5.48181
1,2020,4,6.0737499999999995,0.27625,13.84375,3.69,6.25125,6.2425,4.68875,5.81,1.06125,2.11125,2.295,0.3125,0.25625,0.49624999999999997,6.82022
